age,monthly_income,credit_utilization_ratio,loan_amount,loan_duration_months,num_late_payments,existing_loans_count,account_tenure_years,employment_type,education_level,marital_status,region,customer_financial_statement,default_risk,sentiment,sentiment_score,financial_stress_level,risk_category
65,3600.0,0.77,8500.0,24,3,2,13,Self-Employed,Diploma,Divorced,Suburban,"My income has been inconsistent, and I'm worried about falling further behind.",1,negative,0.968848466873169,High,High Risk
25,3800.0,0.4,9000.0,24,0,1,3,Salaried,Bachelor,Single,Urban,"My career is progressing well, ensuring steady income for the foreseeable future.",0,positive,0.9023194909095764,Low,Low Risk
70,1500.0,1.0,4000.0,12,10,1,7,Unemployed,High School,Divorced,Rural,"I'm hoping this loan can help me get back on track, despite my past payment difficulties.",1,positive,0.9314055442810059,Low,Low Risk
42,9900.0,0.28,29000.0,48,0,2,12,Salaried,Bachelor,Married,Suburban,I've always managed my finances responsibly and am confident in my ability to repay.,0,positive,0.655415952205658,Low,Low Risk
31,5000.0,0.72,26000.0,48,3,2,7,Salaried,Bachelor,Single,Urban,"I've had some recent financial setbacks, and my credit has suffered.",1,negative,0.9650097489356995,High,High Risk
57,14200.0,0.16,44000.0,60,0,4,20,Self-Employed,Master,Married,Urban,I'm looking to invest in a new opportunity and have strong repayment projections.,0,positive,0.8904069662094116,Low,Low Risk
23,2000.0,0.96,7500.0,36,8,0,1,Student,Diploma,Single,Rural,"My job situation is uncertain, but I desperately need these funds.",1,neutral,0.85108882188797,Low,Low Risk
49,11200.0,0.19,34000.0,60,0,3,18,Salaried,Master,Married,Suburban,I've budgeted carefully for this repayment and foresee no issues.,0,neutral,0.8039790391921997,Low,Low Risk
66,2500.0,0.95,6000.0,24,7,2,10,Unemployed,High School,Divorced,Rural,"My income has been inconsistent, and I'm worried about falling further behind.",1,negative,0.968848466873169,High,High Risk
37,7400.0,0.32,18000.0,36,0,1,9,Salaried,Bachelor,Married,Urban,"My current financial situation is very stable, with consistent savings.",0,positive,0.9303826093673706,Low,Low Risk
52,12800.0,0.14,39000.0,60,0,3,19,Self-Employed,Master,Married,Suburban,I've always managed my finances responsibly and am confident in my ability to repay.,0,positive,0.655415952205658,Low,Low Risk
26,3000.0,0.86,13000.0,36,4,1,3,Salaried,Diploma,Single,Urban,"I've had some recent financial setbacks, and my credit has suffered.",1,negative,0.9650097489356995,High,High Risk
69,1700.0,0.99,4000.0,12,10,1,8,Unemployed,High School,Divorced,Rural,It's getting harder to manage my daily expenses with my current income.,1,negative,0.9295135736465454,High,High Risk
32,5700.0,0.38,14000.0,24,0,1,7,Salaried,Bachelor,Married,Suburban,"This loan is for a planned home improvement, and I have sufficient reserves.",0,neutral,0.8946553468704224,Low,Low Risk
51,11800.0,0.17,36000.0,60,0,3,18,Salaried,Master,Married,Urban,"My career is progressing well, ensuring steady income for the foreseeable future.",0,positive,0.9023194909095764,Low,Low Risk
21,1800.0,0.98,5000.0,24,9,0,0,Student,High School,Single,Rural,"I'm currently unemployed and looking for work, but need this to cover immediate expenses.",1,neutral,0.6681033372879028,Low,Low Risk
47,10500.0,0.23,32000.0,60,0,3,16,Salaried,Master,Married,Suburban,I'm looking to invest in a new opportunity and have strong repayment projections.,0,positive,0.8904069662094116,Low,Low Risk
64,3500.0,0.79,9000.0,24,4,2,12,Self-Employed,Diploma,Divorced,Urban,"Unexpected medical bills have put a strain on my finances, making this loan critical.",1,negative,0.964567244052887,High,High Risk
29,4900.0,0.43,10000.0,24,0,1,6,Salaried,Bachelor,Single,Rural,"My current financial situation is very stable, with consistent savings.",0,positive,0.9303826093673706,Low,Low Risk
30,2800.0,0.92,11000.0,48,6,1,4,Salaried,High School,Single,Suburban,"I have a lot of existing debt, and I'm finding it hard to keep up with all the payments.",1,negative,0.9520015120506287,High,High Risk
56,18500.0,0.11,48000.0,60,0,5,20,Self-Employed,Master,Married,Urban,I've budgeted carefully for this repayment and foresee no issues.,0,neutral,0.8039790391921997,Low,Low Risk
24,2100.0,0.97,6500.0,24,8,0,1,Student,Diploma,Single,Urban,"I'm hoping this loan can help me get back on track, despite my past payment difficulties.",1,positive,0.9314055442810059,Low,Low Risk
43,9500.0,0.26,27000.0,48,0,2,13,Salaried,Bachelor,Married,Suburban,I've always managed my finances responsibly and am confident in my ability to repay.,0,positive,0.655415952205658,Low,Low Risk
67,1900.0,0.99,4800.0,12,9,1,9,Unemployed,High School,Divorced,Rural,"I need this loan to pay off other pressing debts, it's my last resort.",1,neutral,0.8973101377487183,Low,Low Risk
31,5300.0,0.7,21000.0,48,3,1,7,Salaried,Bachelor,Single,Urban,"I've had some recent financial setbacks, and my credit has suffered.",1,negative,0.9650097489356995,High,High Risk
54,13800.0,0.13,41000.0,60,0,4,19,Salaried,Master,Married,Suburban,"My current financial situation is very stable, with consistent savings.",0,positive,0.9303826093673706,Low,Low Risk
27,2900.0,0.88,12500.0,36,5,1,4,Salaried,Diploma,Single,Urban,"My job situation is uncertain, but I desperately need these funds.",1,neutral,0.85108882188797,Low,Low Risk
39,7200.0,0.36,17000.0,36,0,1,10,Self-Employed,Bachelor,Married,Rural,"This loan will help consolidate some debts, improving my overall financial standing.",0,positive,0.9557529091835022,Low,Low Risk
65,3700.0,0.78,8800.0,24,4,2,13,Self-Employed,Diploma,Divorced,Suburban,"Unexpected medical bills have put a strain on my finances, making this loan critical.",1,negative,0.964567244052887,High,High Risk
25,3900.0,0.41,9200.0,24,0,1,3,Salaried,Bachelor,Single,Urban,I've budgeted carefully for this repayment and foresee no issues.,0,neutral,0.8039790391921997,Low,Low Risk
70,1600.0,1.0,4200.0,12,10,1,7,Unemployed,High School,Divorced,Rural,"I'm hoping this loan can help me get back on track, despite my past payment difficulties.",1,positive,0.9314055442810059,Low,Low Risk
40,9700.0,0.27,28000.0,48,0,2,10,Salaried,Bachelor,Married,Suburban,"My career is progressing well, ensuring steady income for the foreseeable future.",0,positive,0.9023194909095764,Low,Low Risk
33,5900.0,0.71,23000.0,48,3,2,6,Salaried,Bachelor,Married,Urban,"I've had some recent financial setbacks, and my credit has suffered.",1,negative,0.9650097489356995,High,High Risk
58,14700.0,0.15,43000.0,60,0,4,20,Self-Employed,Master,Married,Urban,I'm looking to invest in a new opportunity and have strong repayment projections.,0,positive,0.8904069662094116,Low,Low Risk
23,2100.0,0.98,7000.0,36,8,0,1,Student,Diploma,Single,Rural,I desperately need these funds to cover immediate expenses as my job prospects are unclear.,1,negative,0.6878754496574402,Medium,Watchlist
45,10100.0,0.21,30000.0,60,0,3,14,Salaried,Master,Married,Suburban,I've always managed my finances responsibly and am confident in my ability to repay.,0,positive,0.655415952205658,Low,Low Risk
62,2400.0,0.94,6500.0,24,7,2,10,Unemployed,High School,Divorced,Rural,"My income has been inconsistent, and I'm worried about falling further behind.",1,negative,0.968848466873169,High,High Risk
36,7700.0,0.34,17000.0,36,0,1,9,Salaried,Bachelor,Married,Urban,"My current financial situation is very stable, with consistent savings.",0,positive,0.9303826093673706,Low,Low Risk
50,12600.0,0.12,37000.0,60,0,3,18,Salaried,Master,Married,Suburban,I've budgeted carefully for this repayment and foresee no issues.,0,neutral,0.8039790391921997,Low,Low Risk
28,3200.0,0.82,13500.0,36,4,1,5,Salaried,Diploma,Single,Rural,"Unexpected medical bills have put a strain on my finances, making this loan critical.",1,negative,0.964567244052887,High,High Risk
67,1600.0,0.99,3000.0,12,10,1,6,Unemployed,High School,Divorced,Urban,"I'm hoping this loan can help me get back on track, despite my past payment difficulties.",1,positive,0.9314055442810059,Low,Low Risk
35,6900.0,0.37,15000.0,36,0,1,8,Self-Employed,Bachelor,Married,Suburban,"This loan is for a planned home improvement, and I have sufficient reserves.",0,neutral,0.8946553468704224,Low,Low Risk
59,15000.0,0.1,50000.0,60,0,5,20,Salaried,Master,Married,Urban,"My career is progressing well, ensuring steady income for the foreseeable future.",0,positive,0.9023194909095764,Low,Low Risk
26,2700.0,0.95,11000.0,48,7,1,3,Salaried,High School,Single,Suburban,"I have a lot of existing debt, and I'm finding it hard to keep up with all the payments.",1,negative,0.9520015120506287,High,High Risk
48,11000.0,0.2,33000.0,60,0,3,17,Salaried,Master,Married,Urban,I've budgeted carefully for this repayment and foresee no issues.,0,neutral,0.8039790391921997,Low,Low Risk
30,5200.0,0.41,10500.0,24,0,1,7,Salaried,Bachelor,Single,Rural,"My current financial situation is very stable, with consistent savings.",0,positive,0.9303826093673706,Low,Low Risk
61,3200.0,0.85,9500.0,24,5,2,15,Self-Employed,Diploma,Divorced,Suburban,"My income has been inconsistent, and I'm worried about falling further behind.",1,negative,0.968848466873169,High,High Risk
22,1900.0,0.99,6800.0,24,9,0,1,Student,High School,Single,Urban,It's getting harder to manage my daily expenses with my current income.,1,negative,0.9295135736465454,High,High Risk
46,10800.0,0.24,34000.0,60,0,3,15,Salaried,Master,Married,Urban,I'm looking to invest in a new opportunity and have strong repayment projections.,0,positive,0.8904069662094116,Low,Low Risk
63,2000.0,0.96,5000.0,12,8,1,11,Unemployed,High School,Divorced,Rural,"I need this loan to pay off other pressing debts, it's my last resort.",1,neutral,0.8973101377487183,Low,Low Risk
38,7800.0,0.3,20000.0,36,0,2,10,Self-Employed,Bachelor,Married,Suburban,I have a good credit history and believe this loan is well within my means.,0,positive,0.6023268699645996,Low,Low Risk
55,13000.0,0.18,40000.0,60,0,4,20,Salaried,Master,Married,Urban,"My current financial situation is very stable, with consistent savings.",0,positive,0.9303826093673706,Low,Low Risk
29,3000.0,0.88,12000.0,36,5,1,5,Salaried,Diploma,Single,Urban,"I've had some recent financial setbacks, and my credit has suffered.",1,negative,0.9650097489356995,High,High Risk
60,18000.0,0.1,49500.0,60,0,5,20,Self-Employed,Master,Married,Suburban,I've always managed my finances responsibly and am confident in my ability to repay.,0,positive,0.655415952205658,Low,Low Risk
21,1700.0,0.97,4000.0,12,8,0,0,Student,High School,Single,Rural,"I'm currently unemployed and looking for work, but need this to cover immediate expenses.",1,neutral,0.6681033372879028,Low,Low Risk
41,9600.0,0.25,28000.0,48,0,2,12,Salaried,Bachelor,Married,Urban,"My income is stable, and I have a good handle on my monthly expenses.",0,positive,0.5296257734298706,Low,Low Risk
68,2100.0,0.98,5500.0,12,9,1,10,Unemployed,High School,Divorced,Rural,It's getting harder to manage my daily expenses with my current income.,1,negative,0.9295135736465454,High,High Risk
34,6300.0,0.69,22000.0,48,2,1,8,Salaried,Bachelor,Married,Suburban,"Unexpected medical bills have put a strain on my finances, making this loan critical.",1,negative,0.964567244052887,High,High Risk
53,16500.0,0.12,46000.0,60,0,4,19,Self-Employed,Master,Married,Urban,I've budgeted carefully for this repayment and foresee no issues.,0,neutral,0.8039790391921997,Low,Low Risk
27,2800.0,0.89,14000.0,48,6,1,4,Salaried,Diploma,Single,Urban,"I have a lot of existing debt, and I'm finding it hard to keep up with all the payments.",1,negative,0.9520015120506287,High,High Risk
39,7100.0,0.35,16500.0,36,0,1,10,Salaried,Bachelor,Married,Rural,"This loan will help consolidate some debts, improving my overall financial standing.",0,positive,0.9557529091835022,Low,Low Risk
65,3600.0,0.77,8500.0,24,3,2,13,Self-Employed,Diploma,Divorced,Suburban,"My income has been inconsistent, and I'm worried about falling further behind.",1,negative,0.968848466873169,High,High Risk
25,3800.0,0.4,9000.0,24,0,1,3,Salaried,Bachelor,Single,Urban,"My career is progressing well, ensuring steady income for the foreseeable future.",0,positive,0.9023194909095764,Low,Low Risk
70,1600.0,1.0,4200.0,12,10,1,7,Unemployed,High School,Divorced,Rural,"I'm hoping this loan can help me get back on track, despite my past payment difficulties.",1,positive,0.9314055442810059,Low,Low Risk
40,9700.0,0.27,28000.0,48,0,2,10,Salaried,Bachelor,Married,Suburban,"My career is progressing well, ensuring steady income for the foreseeable future.",0,positive,0.9023194909095764,Low,Low Risk
33,5900.0,0.71,23000.0,48,3,2,6,Salaried,Bachelor,Married,Urban,"I've had some recent financial setbacks, and my credit has suffered.",1,negative,0.9650097489356995,High,High Risk
58,14700.0,0.15,43000.0,60,0,4,20,Self-Employed,Master,Married,Urban,I'm looking to invest in a new opportunity and have strong repayment projections.,0,positive,0.8904069662094116,Low,Low Risk
23,2100.0,0.98,7000.0,36,8,0,1,Student,Diploma,Single,Rural,I desperately need these funds to cover immediate expenses as my job prospects are unclear.,1,negative,0.6878754496574402,Medium,Watchlist
45,10100.0,0.21,30000.0,60,0,3,14,Salaried,Master,Married,Suburban,I've always managed my finances responsibly and am confident in my ability to repay.,0,positive,0.655415952205658,Low,Low Risk
62,2400.0,0.94,6500.0,24,7,2,10,Unemployed,High School,Divorced,Rural,"My income has been inconsistent, and I'm worried about falling further behind.",1,negative,0.968848466873169,High,High Risk
36,7700.0,0.34,17000.0,36,0,1,9,Salaried,Bachelor,Married,Urban,"My current financial situation is very stable, with consistent savings.",0,positive,0.9303826093673706,Low,Low Risk
50,12600.0,0.12,37000.0,60,0,3,18,Salaried,Master,Married,Suburban,I've budgeted carefully for this repayment and foresee no issues.,0,neutral,0.8039790391921997,Low,Low Risk
28,3200.0,0.82,13500.0,36,4,1,5,Salaried,Diploma,Single,Rural,"Unexpected medical bills have put a strain on my finances, making this loan critical.",1,negative,0.964567244052887,High,High Risk
67,1600.0,0.99,3000.0,12,10,1,6,Unemployed,High School,Divorced,Urban,"I'm hoping this loan can help me get back on track, despite my past payment difficulties.",1,positive,0.9314055442810059,Low,Low Risk
35,6900.0,0.37,15000.0,36,0,1,8,Self-Employed,Bachelor,Married,Suburban,"This loan is for a planned home improvement, and I have sufficient reserves.",0,neutral,0.8946553468704224,Low,Low Risk
59,15000.0,0.1,50000.0,60,0,5,20,Salaried,Master,Married,Urban,"My career is progressing well, ensuring steady income for the foreseeable future.",0,positive,0.9023194909095764,Low,Low Risk
26,2700.0,0.95,11000.0,48,7,1,3,Salaried,High School,Single,Suburban,"I have a lot of existing debt, and I'm finding it hard to keep up with all the payments.",1,negative,0.9520015120506287,High,High Risk
48,11000.0,0.2,33000.0,60,0,3,17,Salaried,Master,Married,Urban,I've budgeted carefully for this repayment and foresee no issues.,0,neutral,0.8039790391921997,Low,Low Risk
30,5200.0,0.41,10500.0,24,0,1,7,Salaried,Bachelor,Single,Rural,"My current financial situation is very stable, with consistent savings.",0,positive,0.9303826093673706,Low,Low Risk
61,3200.0,0.85,9500.0,24,5,2,15,Self-Employed,Diploma,Divorced,Suburban,"My income has been inconsistent, and I'm worried about falling further behind.",1,negative,0.968848466873169,High,High Risk
22,1900.0,0.99,6800.0,24,9,0,1,Student,High School,Single,Urban,It's getting harder to manage my daily expenses with my current income.,1,negative,0.9295135736465454,High,High Risk
46,10800.0,0.24,34000.0,60,0,3,15,Salaried,Master,Married,Urban,I'm looking to invest in a new opportunity and have strong repayment projections.,0,positive,0.8904069662094116,Low,Low Risk
63,2000.0,0.96,5000.0,12,8,1,11,Unemployed,High School,Divorced,Rural,"I need this loan to pay off other pressing debts, it's my last resort.",1,neutral,0.8973101377487183,Low,Low Risk
38,7800.0,0.3,20000.0,36,0,2,10,Self-Employed,Bachelor,Married,Suburban,I have a good credit history and believe this loan is well within my means.,0,positive,0.6023268699645996,Low,Low Risk
55,13000.0,0.18,40000.0,60,0,4,20,Salaried,Master,Married,Urban,"My current financial situation is very stable, with consistent savings.",0,positive,0.9303826093673706,Low,Low Risk
29,3000.0,0.88,12000.0,36,5,1,5,Salaried,Diploma,Single,Urban,"I've had some recent financial setbacks, and my credit has suffered.",1,negative,0.9650097489356995,High,High Risk
60,18000.0,0.1,49500.0,60,0,5,20,Self-Employed,Master,Married,Suburban,I've always managed my finances responsibly and am confident in my ability to repay.,0,positive,0.655415952205658,Low,Low Risk
21,1700.0,0.97,4000.0,12,8,0,0,Student,High School,Single,Rural,"I'm currently unemployed and looking for work, but need this to cover immediate expenses.",1,neutral,0.6681033372879028,Low,Low Risk
41,9600.0,0.25,28000.0,48,0,2,12,Salaried,Bachelor,Married,Urban,"My income is stable, and I have a good handle on my monthly expenses.",0,positive,0.5296257734298706,Low,Low Risk
68,2100.0,0.98,5500.0,12,9,1,10,Unemployed,High School,Divorced,Rural,It's getting harder to manage my daily expenses with my current income.,1,negative,0.9295135736465454,High,High Risk
34,6300.0,0.69,22000.0,48,2,1,8,Salaried,Bachelor,Married,Suburban,"Unexpected medical bills have put a strain on my finances, making this loan critical.",1,negative,0.964567244052887,High,High Risk
53,16500.0,0.12,46000.0,60,0,4,19,Self-Employed,Master,Married,Urban,I've budgeted carefully for this repayment and foresee no issues.,0,neutral,0.8039790391921997,Low,Low Risk
27,2800.0,0.89,14000.0,48,6,1,4,Salaried,Diploma,Single,Urban,"I have a lot of existing debt, and I'm finding it hard to keep up with all the payments.",1,negative,0.9520015120506287,High,High Risk
39,7100.0,0.35,16500.0,36,0,1,10,Salaried,Bachelor,Married,Rural,"This loan will help consolidate some debts, improving my overall financial standing.",0,positive,0.9557529091835022,Low,Low Risk
65,3600.0,0.77,8500.0,24,3,2,13,Self-Employed,Diploma,Divorced,Suburban,"My income has been inconsistent, and I'm worried about falling further behind.",1,negative,0.968848466873169,High,High Risk
25,3800.0,0.41,9200.0,24,0,1,3,Salaried,Bachelor,Single,Urban,"My career is progressing well, ensuring steady income for the foreseeable future.",0,positive,0.9023194909095764,Low,Low Risk
70,1600.0,1.0,4200.0,12,10,1,7,Unemployed,High School,Divorced,Rural,"I'm hoping this loan can help me get back on track, despite my past payment difficulties.",1,positive,0.9314055442810059,Low,Low Risk
59,9500.0,0.65,28800.0,48,1,3,17,Self-Employed,Bachelor,Married,Urban,"My finances are well-managed, and I'm looking to consolidate some smaller debts into one payment.",0,neutral,0.7106344699859619,Low,Low Risk
28,6200.0,0.35,11300.0,36,0,0,7,Salaried,Bachelor,Married,Urban,I have a stable job and excellent credit; this loan is for a home improvement project.,0,neutral,0.5335102081298828,Low,Low Risk
32,12800.0,0.28,35700.0,60,0,1,8,Salaried,Master,Single,Urban,"My financial situation is robust, and I am looking for a personal loan to fund a significant life event.",0,neutral,0.7561371326446533,Low,Low Risk
41,8700.0,0.42,19600.0,36,0,2,15,Salaried,Bachelor,Married,Suburban,I am seeking funds for a necessary repair and have a reliable income source to ensure repayment.,0,positive,0.6280316710472107,Low,Low Risk
24,2500.0,0.61,2500.0,12,1,0,3,Student,Diploma,Single,Urban,I am looking for a personal loan to cover some urgent expenses and am confident in my repayment ability.,0,positive,0.8999671339988708,Low,Low Risk
55,4100.0,0.88,15900.0,48,4,4,18,Salaried,High School,Divorced,Rural,"My current debts are overwhelming, and I'm finding it very hard to keep up.",1,negative,0.9357419013977051,High,High Risk
36,7100.0,0.39,18000.0,36,0,1,10,Self-Employed,Bachelor,Married,Suburban,This loan will help me manage my cash flow more effectively for my growing self-employed business.,0,positive,0.8282826542854309,Low,Low Risk
63,1900.0,0.95,3500.0,24,7,2,19,Unemployed,Diploma,Divorced,Rural,"I've been struggling with making payments due to unexpected job loss, and need this to catch up.",1,negative,0.9412403702735901,High,High Risk
48,16500.0,0.22,42500.0,60,0,2,16,Salaried,Master,Married,Urban,"My financial situation is robust, and I am looking for a personal loan to fund a significant life event.",0,neutral,0.7561371326446533,Low,Low Risk
29,5800.0,0.55,13400.0,36,0,1,6,Salaried,Bachelor,Single,Urban,"My finances are well-managed, and I'm looking to consolidate some smaller debts into one payment.",0,neutral,0.7106344699859619,Low,Low Risk
38,3600.0,0.79,9000.0,36,2,3,12,Salaried,High School,Married,Rural,"I've had a few ups and downs, but I'm committed to improving my credit with this loan.",0,positive,0.9431411623954773,Low,Low Risk
67,7900.0,0.31,17500.0,48,0,1,20,Salaried,Bachelor,Married,Suburban,"My finances are well-managed, and I'm looking to consolidate some smaller debts into one payment.",0,neutral,0.7106344699859619,Low,Low Risk
22,1800.0,0.72,1500.0,12,2,0,1,Student,High School,Single,Urban,I need funds desperately to avoid further late payments and potential defaults.,1,negative,0.6818029880523682,Medium,Watchlist
45,11000.0,0.48,30000.0,60,0,2,17,Self-Employed,Master,Married,Urban,I'm financially secure and planning to invest in a small business venture.,0,neutral,0.8804696798324585,Low,Low Risk
31,4900.0,0.69,11000.0,24,1,2,9,Salaried,Diploma,Single,Suburban,"While my credit utilization is a bit high, I have a plan to reduce it with this new loan.",0,positive,0.9193214774131775,Low,Low Risk
52,10500.0,0.51,22000.0,48,1,3,19,Salaried,Bachelor,Divorced,Urban,"My finances are well-managed, and I'm looking to consolidate some smaller debts into one payment.",0,neutral,0.7106344699859619,Low,Low Risk
26,5100.0,0.33,8000.0,24,0,0,4,Salaried,Bachelor,Single,Urban,I have a good track record with previous loans and a stable financial background.,0,neutral,0.6880838871002197,Low,Low Risk
39,2000.0,0.98,4500.0,24,8,4,10,Unemployed,High School,Married,Rural,"My financial situation is critical, and I'm seeking any assistance to stay afloat.",1,neutral,0.5811591148376465,Low,Low Risk
50,9900.0,0.4,25000.0,48,0,2,18,Self-Employed,Bachelor,Married,Suburban,I'm financially secure and planning to invest in a small business venture.,0,neutral,0.8804696798324585,Low,Low Risk
61,5200.0,0.68,10500.0,36,1,3,20,Salaried,Diploma,Married,Rural,"I'm trying to get my finances in order after some minor setbacks, this loan will help.",0,positive,0.8007779121398926,Low,Low Risk
34,14000.0,0.25,38000.0,60,0,1,12,Salaried,Master,Married,Urban,"My financial situation is robust, and I am looking for a personal loan to fund a significant life event.",0,neutral,0.7561371326446533,Low,Low Risk
27,4000.0,0.58,7500.0,24,0,1,5,Salaried,Diploma,Single,Suburban,"With my consistent income, I'm confident in my ability to repay this loan for a new car.",0,positive,0.9286524057388306,Low,Low Risk
42,2200.0,0.99,6000.0,36,9,5,15,Unemployed,Bachelor,Divorced,Urban,I've had a rough patch with my finances and am barely making ends meet.,1,negative,0.9488524198532104,High,High Risk
30,6500.0,0.3,14000.0,36,0,0,8,Salaried,Bachelor,Married,Urban,"My finances are well-managed, and I'm looking to consolidate some smaller debts into one payment.",0,neutral,0.7106344699859619,Low,Low Risk
58,4800.0,0.75,8500.0,24,2,2,20,Self-Employed,High School,Married,Rural,"I'm trying to get my finances in order after some minor setbacks, this loan will help.",0,positive,0.8007779121398926,Low,Low Risk
25,4500.0,0.45,6000.0,12,0,0,3,Salaried,Bachelor,Single,Urban,I need these funds for an educational course to advance my career.,0,neutral,0.8537189960479736,Low,Low Risk
70,1700.0,0.9,2000.0,12,6,3,20,Unemployed,Diploma,Divorced,Rural,"After a recent job change, my income is unstable, making it hard to manage my existing commitments.",1,negative,0.9433354735374451,High,High Risk
49,18000.0,0.15,48000.0,60,0,1,19,Salaried,Master,Married,Urban,"My financial situation is robust, and I am looking for a personal loan to fund a significant life event.",0,neutral,0.7561371326446533,Low,Low Risk
33,5300.0,0.6,10000.0,24,0,1,7,Self-Employed,Diploma,Single,Suburban,This loan will help me manage my cash flow more effectively for my growing self-employed business.,0,positive,0.8282826542854309,Low,Low Risk
65,2100.0,0.92,5500.0,36,7,4,20,Unemployed,Bachelor,Married,Suburban,"My credit is poor, and I'm struggling with a high debt burden that needs immediate attention.",1,negative,0.9571061134338379,High,High Risk
21,1600.0,0.85,1000.0,12,3,0,0,Student,High School,Single,Urban,I've had a rough patch with my finances and am barely making ends meet.,1,negative,0.9488524198532104,High,High Risk
46,9000.0,0.37,20000.0,48,0,1,18,Salaried,Bachelor,Married,Urban,"My finances are well-managed, and I'm looking to consolidate some smaller debts into one payment.",0,neutral,0.7106344699859619,Low,Low Risk
37,15000.0,0.2,40000.0,60,0,0,14,Salaried,Master,Married,Urban,"My financial situation is robust, and I am looking for a personal loan to fund a significant life event.",0,neutral,0.7561371326446533,Low,Low Risk
53,6000.0,0.7,12000.0,36,1,3,20,Self-Employed,Diploma,Divorced,Suburban,"I'm trying to get my finances in order after some minor setbacks, this loan will help.",0,positive,0.8007779121398926,Low,Low Risk
68,3800.0,0.62,7000.0,24,0,2,20,Salaried,High School,Married,Rural,"With my consistent income, I'm confident in my ability to repay this loan for a new car.",0,positive,0.9286524057388306,Low,Low Risk
23,2000.0,0.78,2000.0,12,3,0,2,Student,Diploma,Single,Urban,I need funds desperately to avoid further late payments and potential defaults.,1,negative,0.6818029880523682,Medium,Watchlist
40,8000.0,0.35,16000.0,36,0,1,16,Salaried,Bachelor,Married,Suburban,"My finances are well-managed, and I'm looking to consolidate some smaller debts into one payment.",0,neutral,0.7106344699859619,Low,Low Risk
56,17000.0,0.18,45000.0,60,0,2,20,Salaried,Master,Married,Urban,"My financial situation is robust, and I am looking for a personal loan to fund a significant life event.",0,neutral,0.7561371326446533,Low,Low Risk
35,1800.0,0.93,3000.0,12,5,2,8,Unemployed,High School,Single,Rural,I've had a rough patch with my finances and am barely making ends meet.,1,negative,0.9488524198532104,High,High Risk
28,4200.0,0.5,8500.0,24,0,1,6,Salaried,Diploma,Single,Urban,I have a good track record with previous loans and a stable financial background.,0,neutral,0.6880838871002197,Low,Low Risk
43,8200.0,0.41,19000.0,36,0,2,15,Self-Employed,Bachelor,Married,Suburban,This loan will help me manage my cash flow more effectively for my growing self-employed business.,0,positive,0.8282826542854309,Low,Low Risk
60,5000.0,0.72,10000.0,36,1,3,20,Salaried,Diploma,Married,Rural,"I'm trying to get my finances in order after some minor setbacks, this loan will help.",0,positive,0.8007779121398926,Low,Low Risk
26,1500.0,0.96,2500.0,12,6,1,4,Unemployed,High School,Single,Urban,"My financial situation is critical, and I'm seeking any assistance to stay afloat.",1,neutral,0.5811591148376465,Low,Low Risk
51,9200.0,0.38,21000.0,48,0,2,19,Salaried,Bachelor,Married,Urban,"My finances are well-managed, and I'm looking to consolidate some smaller debts into one payment.",0,neutral,0.7106344699859619,Low,Low Risk
69,14500.0,0.23,30000.0,60,0,0,20,Salaried,Master,Divorced,Suburban,"My financial situation is robust, and I am looking for a personal loan to fund a significant life event.",0,neutral,0.7561371326446533,Low,Low Risk
30,4700.0,0.65,9500.0,24,0,1,8,Self-Employed,Diploma,Single,Rural,This loan will help me manage my cash flow more effectively for my growing self-employed business.,0,positive,0.8282826542854309,Low,Low Risk
44,8900.0,0.36,18500.0,36,0,1,17,Salaried,Bachelor,Married,Urban,I am seeking funds for a necessary repair and have a reliable income source to ensure repayment.,0,positive,0.6280316710472107,Low,Low Risk
29,5900.0,0.32,12500.0,24,0,0,7,Salaried,Bachelor,Married,Suburban,I have a stable job and excellent credit; this loan is for a home improvement project.,0,neutral,0.5335102081298828,Low,Low Risk
62,1600.0,0.97,4000.0,24,8,5,20,Unemployed,High School,Married,Rural,"My current debts are overwhelming, and I'm finding it very hard to keep up.",1,negative,0.9357419013977051,High,High Risk
47,15500.0,0.21,41000.0,60,0,1,18,Salaried,Master,Married,Urban,"My financial situation is robust, and I am looking for a personal loan to fund a significant life event.",0,neutral,0.7561371326446533,Low,Low Risk
32,4800.0,0.63,10500.0,24,0,2,10,Salaried,Diploma,Married,Suburban,"While my credit utilization is a bit high, I have a plan to reduce it with this new loan.",0,positive,0.9193214774131775,Low,Low Risk
54,9700.0,0.52,24000.0,48,1,3,19,Self-Employed,Bachelor,Divorced,Urban,"My finances are well-managed, and I'm looking to consolidate some smaller debts into one payment.",0,neutral,0.7106344699859619,Low,Low Risk
24,1700.0,0.81,1200.0,12,4,0,2,Student,High School,Single,Rural,I've had a rough patch with my finances and am barely making ends meet.,1,negative,0.9488524198532104,High,High Risk
36,7000.0,0.29,15000.0,36,0,0,13,Salaried,Bachelor,Married,Urban,I have a good track record with previous loans and a stable financial background.,0,neutral,0.6880838871002197,Low,Low Risk
57,1900.0,0.94,3800.0,24,7,4,20,Unemployed,Diploma,Married,Rural,"I have been unemployed for a while, and my savings are almost depleted.",1,negative,0.8329399228096008,High,High Risk
29,11500.0,0.27,25000.0,48,0,0,7,Salaried,Master,Single,Urban,"My financial situation is robust, and I am looking for a personal loan to fund a significant life event.",0,neutral,0.7561371326446533,Low,Low Risk
